"study_id","nct_id","title","topic_id","topic_label","reviewer1_decision","reviewer1_note","reviewer2_decision","reviewer2_note","final_decision","resolver_id","resolution_note"
"NCT00000001","NCT00000001","Short DAPT vs standard after PCI","short_dapt","Short DAPT (1-3 months) vs standard","","","","","","",""
"NCT00000002","NCT00000002","Three-month DAPT in ACS","short_dapt","Short DAPT (1-3 months) vs standard","","","","","","",""
"NCT00000003","NCT00000003","Aspirin stop after 1 month DAPT","short_dapt","Short DAPT (1-3 months) vs standard","","","","","","",""
"NCT00000004","NCT00000004","Short DAPT with potent P2Y12","short_dapt","Short DAPT (1-3 months) vs standard","","","","","","",""
"NCT00000005","NCT00000005","Short DAPT in high bleeding risk","short_dapt","Short DAPT (1-3 months) vs standard","","","","","","",""
"NCT00001001","NCT00001001","Alirocumab early post-ACS","pcsk9_early","PCSK9 inhibitors early post-ACS","","","","","","",""
"NCT00001002","NCT00001002","Evolocumab loading after MI","pcsk9_early","PCSK9 inhibitors early post-ACS","","","","","","",""
"NCT00001003","NCT00001003","PCSK9 escalation strategy","pcsk9_early","PCSK9 inhibitors early post-ACS","","","","","","",""
"NCT00001004","NCT00001004","Evolocumab add-on early after PCI","pcsk9_early","PCSK9 inhibitors early post-ACS","","","","","","",""
"NCT00001005","NCT00001005","Alirocumab early ACS feasibility","pcsk9_early","PCSK9 inhibitors early post-ACS","","","","","","",""
"NCT00002001","NCT00002001","Complete revascularization in STEMI","complete_revasc","Complete vs culprit-only revascularization","","","","","","",""
"NCT00002002","NCT00002002","Staged complete revascularization","complete_revasc","Complete vs culprit-only revascularization","","","","","","",""
"NCT00002003","NCT00002003","Complete revascularization vs culprit-only","complete_revasc","Complete vs culprit-only revascularization","","","","","","",""
"NCT00002004","NCT00002004","Complete revascularization in NSTEMI","complete_revasc","Complete vs culprit-only revascularization","","","","","","",""
"NCT00002005","NCT00002005","Culprit-only vs complete revascularization strategy","complete_revasc","Complete vs culprit-only revascularization","","","","","","",""
